Unique ID,First Line,Universe(s),World(s),Solar Bodies,Meteorological & Atmospheric Phenomena,Inorganic Matter,Nature,Landforms,Flora,Fauna,Environmental Phenomena: Specific
"Y-MSSA MLT69-19, 517",The robin is a Gabriel,,,,,,,,,YES,robin;
A 429,The Robin is a Troubadour,,,,,,,,,YES,robin;
A 92-1/2,The Robin is the One,,,,,,,,YES,YES,nest;robin;
Bianchi–Fr501A,The robin is the one,,,,,,,,,YES,robin;
Atlantic Monthly–Fr501B,The robin is the one,,,,,,,,YES,YES,nest;robin;
H 32,The Robin's my Criterion for Tune,,,,YES,,,,YES,YES,orchard;buttercup;bloom;daisy;clover;nut;robin;cuckoo;snow;
Independent 1898,"The saddest noise, the sweetest noise",,,,,,,,,YES,bird;
H 81,The sky cant keep their secret!,,YES,,YES,,,YES,YES,YES,hill;orchard;daffodil;bird;sky;snow;world;
H 189,The Sun went down -,,,YES,,,,,,YES,sun;earth;bird;stranger;
H 158,The tree like Tassels - hit -,,,YES,YES,YES,YES,,YES,YES,sun;orchard;flower;calyx;stem;creature;bird;snake;cloud;stone;nature;
A 95-8/9,The Way to know a Bobolink,,,,,,,,YES,YES,meadow;bird;bobolink;
H 152,The Wind - tapped like a tired Man -,,,,YES,,,,YES,YES,bush;humming bird;wind;air;billlow;
A 814,The Wind begun to knead the Grass,,,,YES,YES,,YES,YES,YES,plain;grass;leaf;tree;nest;cattle;bird;wind;sky;thunder;lightning;rain;dust;
H 356,The Wind begun to knead the Grass,,,,YES,YES,,YES,YES,YES,plain;grass;leaf;tree;nest;cattle;bird;wind;sky;thunder;lightning;rain;dust;
A 451,The Wind begun to rock the Grass,,,YES,YES,YES,,,YES,YES,earth;grass;leaf;tree;nest;cattle;bird;beak;claw;wind;sky;thunder;lightning;rain;dust;
BPL 121-126,The Wind begun to rock the Grass,,,YES,YES,YES,,,YES,YES,earth;grass;leaf;tree;nest;cattle;bird;beak;claw;wind;sky;thunder;lightning;rain;dust;
A 833–Fr796E,The Wind begun to rock the Grass,,,YES,YES,YES,,,YES,YES,earth;grass;leaf;tree;nest;cattle;bird;claw;wind;sky;thunder;lightning;rain;dust;
A 452,The Wind took up the Northern Things,,,YES,YES,,YES,,,YES,earth;cattle;bird;worm;wind;tempest;nature;
H 135/136,The Winters are so short -,,YES,,YES,,,,,YES,bird;phebe;deluge;world;
"Y-MSSA MLT68-17, 246","Then will I not repine, knowing",,,,,,,YES,,YES,sea;bird;
H 94,There is a flower that bee prefer -,,YES,YES,YES,,,YES,YES,YES,moon;sun;hill;flower;orchis;rhododendron;grass;sod;pasture;bear;humming bird;insect;bee;butterfly;wind;frost;world;
A 82-3/4,There is a morn by men unseen -,,,YES,,,,YES,YES,YES,sun;star;dell;wood;bird;
A 80-5/6,There's something quieter than sleep,,,,YES,,,,YES,YES,wood;bird;gravity;
A 654,These are the days when Birds come back -,,,,YES,,,,YES,YES,seed;leaf;bird;bee;sky;air;haze;
H 11,These are the days when Birds come back,,,,YES,,,,YES,YES,seed;leaf;bird;bee;sky;air;haze;
A 465,These are the Days when Birds come back,,,,YES,,,,,YES,bird;skies;
Drum Beat–Fr122B,These are the days when birds come back,,,,YES,,,,YES,YES,seed;leaf;bird;bee;sky;air;haze;
A 91-13/14,These tested Our Horizon,,,,,,,,,YES,bird;
H 182,They shut me up in Prose -,,,YES,,,,,,YES,star;bird;
H 110,This - is the land - the Sunset washes -,,,,,,,YES,,YES,land;bank;sea;oriole;
H 164,This Bauble was preferred of bee -,YES,,,,,,,,YES,bird;bee;butterfly;universe;
H 359,Thro' lane it lay - thro' bramble -,,,,YES,,,YES,YES,YES,crag;valley;wood;bramble;wolf;owl;vulture;serpent;tempest;lightning;
A 80-1/2,Through lane it lay - thro' bramble,,,,YES,,,YES,YES,YES,crag;valley;wood;bramble;wolf;owl;serpent;vulture;tempest;lightning;
A 487,To flee from memory,,,,,,,,,YES,bird;wing;
H 63,To hear an Oriole sing,,,,,,,,YES,YES,tree;bird;oriole;
A 494/495,Touch lightly Nature's sweet Guitar,,,,,,YES,,,YES,bird;nature;
A 86-7/8,Twice had Summer her fair Verdure,,,,,,YES,YES,YES,YES,plain;river;berry;squirrel;bird;nature;
MSA498_Fr571C,Two Butterflies went out at Noon,,,YES,YES,,,YES,,YES,sun;peninsula;butterfly;gravitation;
ATr43e–Fr571A,Two butterflies went out at noon,,,,,,,,,YES,butterfly;
H 86,Two Butterflies went out at Noon,,,YES,,,,YES,,YES,firmament;sea;bird;butterfly;
A 92-3/4,"Under the Light, yet under",,,,YES,,,,YES,YES,grass;clover;root;beetle;light;comet;
A 503,Upon his Saddle sprung a Bird,YES,,,,,,,YES,YES,tree;bird;universe;
H 132,Victory comes late -,,,,YES,,,,,YES,robin;eagle;sparrow;frost;
Y BRBL-Hooker,Victory comes late,,,,YES,,,,YES,YES,cherry;robin;eagle;sparrow;frost;
H 28,"Water, is taught by thirst.",,,,YES,,,YES,,YES,land;ocean;bird;snow;
A 508,We like March -,,,YES,YES,,,,YES,YES,sun;forest;dog;adder;blue bird;sky;
A 511,We like March -,,,YES,YES,,,,YES,YES,sun;forest;dog;adder;blue bird;sky;
Princeton,We like March -,,,YES,YES,,,,YES,YES,sun;forest;dog;adder;blue bird;sky;
H 369,We like March.,,,YES,YES,,,,YES,YES,sun;forest;dog;adder;blue bird;sky;
H 31,We should not mind so small a flower,,,,,,,,YES,YES,garden;flower;carnation;dandelion;bobolink;bee;
H 372,We should not mind so small a flower -,,,,,,,,YES,YES,garden;flower;carnation;dandelion;bobolink;bee;
H 153_Fr624A,"What care the Dead, for Chanticleer",,,YES,YES,YES,,,YES,YES,sun;sycamore;bird;snow;breeze;stone;
A 92-13/14,What shall I do when the Summer troubles,,,,YES,,,,YES,YES,rose;maple;buttercup;berry;squirrel;robin;bee;wing;sky;
H 37,What would I give to see his face?,,,YES,YES,,,YES,YES,YES,firmamental sea;bank;dell;rose;lily;cowslip;primrose;daffodil;bobolink;bee;butterfly;dew;
A 518,Whatever it is - she has tried it -,,,,,,,,,YES,dove;
H 169,"When I hoped, I recollect",,YES,YES,YES,,YES,,,YES,sun;bird;air;sleet;frost;icicle;darkness;cool;sky;world;nature;
H 190,When they come back -,,,,,,,,YES,YES,blossom;robin;
A 108,when what they sung for is undone,,,,,YES,,,,YES,blue bird;stone;
Vassar,Where every Bird is bold to go,,,,,,,,,YES,bird;bee;
A 90-9/10,Which is best? Heaven -,,,,,,,,YES,YES,bush;bird;
A 92-11/12,Who occupies this House?,,,,,,,,,YES,dog;squirrel;bird;stranger;
A 527,Whoever disenchants,,,YES,,,,,,YES,star;bird;
H B186,Whose cheek is this?,,,,,,,,YES,YES,woods;leaf;robin;
H 38,Why - do they shut me out of Heaven?,,,,,,,,,YES,bird;
H 5,"Will there really be a ""morning""?",,,,YES,,,YES,YES,YES,mountain;water lily;bird;sky;
A 529,With Pinions of Disdain,,,,YES,,,,,,gale;
A 509/510,With the Blue Birds,,,,YES,,,YES,,YES,peninsula;blue bird;sky;
H 26,"Within my Garden, rides a Bird",,,,,,,,YES,YES,garden;rose;blossom;dog;bird;
H 105,Without this - there is nought -,,,,,,,,,,
H 125,"You said that I ""was Great"" - one Day -",,,,,,,,,YES,rhinoceros;mouse;stag;wren;
A 84-9/10,You'll know Her - by Her Foot -,,,,YES,YES,,YES,YES,YES,gamboge;stem;creature;robin;wind;sand;
H 122,You've seen Balloons set -,,,,YES,,,YES,YES,YES,sea;tree;swan;air;
